年度,区分,費目,金額(千円)
2022,歳入,地方税,15004181
2022,歳入,地方譲与税,308813
2022,歳入,利子割交付金,5621
2022,歳入,配当割交付金,82756
2022,歳入,株式等譲渡所得割交付金,61125
2022,歳入,分離課税所得割交付金,0
2022,歳入,地方消費税交付金,2485190
2022,歳入,ゴルフ場利用税交付金,179609
2022,歳入,特別地方消費税交付金,0
2022,歳入,自動車取得税交付金,0
2022,歳入,軽油引取税交付金,0
2022,歳入,自動車税環境性能割交付金,34616
2022,歳入,法人事業税交付金,202472
2022,歳入,地方特例交付金等,136902
2022,歳入,地方交付税,3745088
2022,歳入,交通安全対策特別交付金,8555
2022,歳入,分担金・負担金,72937
2022,歳入,使用料,348136
2022,歳入,手数料,205720
2022,歳入,国庫支出金,6096666
2022,歳入,国有提供交付金(特別区財調交付金),0
2022,歳入,都道府県支出金,2454733
2022,歳入,財産収入,94926
2022,歳入,寄附金,656888
2022,歳入,繰入金,4823
2022,歳入,繰越金,2744299
2022,歳入,諸収入,3294698
2022,歳入,地方債,844800
2022,歳出,議会費,235723
2022,歳出,総務費,8225691
2022,歳出,民生費,12582470
2022,歳出,衛生費,2868001
2022,歳出,労働費,21864
2022,歳出,農林水産業費,543456
2022,歳出,商工費,1234729
2022,歳出,土木費,3061484
2022,歳出,消防費,1051352
2022,歳出,教育費,4156659
2022,歳出,災害復旧費,0
2022,歳出,公債費,2252511
2022,歳出,諸支出金,0
2022,歳出,前年度繰上充用金,0
2021,歳入,地方税,14338971
2021,歳入,地方譲与税,306811
2021,歳入,利子割交付金,10573
2021,歳入,配当割交付金,88646
2021,歳入,株式等譲渡所得割交付金,100416
2021,歳入,分離課税所得割交付金,0
2021,歳入,地方消費税交付金,2343943
2021,歳入,ゴルフ場利用税交付金,180764
2021,歳入,特別地方消費税交付金,0
2021,歳入,自動車取得税交付金,0
2021,歳入,軽油引取税交付金,0
2021,歳入,自動車税環境性能割交付金,30439
2021,歳入,法人事業税交付金,180444
2021,歳入,地方特例交付金等,393756
2021,歳入,地方交付税,3277385
2021,歳入,交通安全対策特別交付金,9606
2021,歳入,分担金・負担金,115068
2021,歳入,使用料,341162
2021,歳入,手数料,209677
2021,歳入,国庫支出金,8244971
2021,歳入,国有提供交付金(特別区財調交付金),0
2021,歳入,都道府県支出金,2188375
2021,歳入,財産収入,122187
2021,歳入,寄附金,396378
2021,歳入,繰入金,25614
2021,歳入,繰越金,2046524
2021,歳入,諸収入,1179755
2021,歳入,地方債,1317800
2021,歳出,議会費,242830
2021,歳出,総務費,4830082
2021,歳出,民生費,13385801
2021,歳出,衛生費,3144349
2021,歳出,労働費,21107
2021,歳出,農林水産業費,477025
2021,歳出,商工費,1138868
2021,歳出,土木費,3206813
2021,歳出,消防費,1029593
2021,歳出,教育費,4756875
2021,歳出,災害復旧費,20657
2021,歳出,公債費,2450966
2021,歳出,諸支出金,0
2021,歳出,前年度繰上充用金,0
2020,歳入,地方税,14979168
2020,歳入,地方譲与税,301815
2020,歳入,利子割交付金,15832
2020,歳入,配当割交付金,59695
2020,歳入,株式等譲渡所得割交付金,69808
2020,歳入,分離課税所得割交付金,0
2020,歳入,地方消費税交付金,2138193
2020,歳入,ゴルフ場利用税交付金,168756
2020,歳入,特別地方消費税交付金,0
2020,歳入,自動車取得税交付金,0
2020,歳入,軽油引取税交付金,0
2020,歳入,自動車税環境性能割交付金,26487
2020,歳入,法人事業税交付金,91183
2020,歳入,地方特例交付金,129393
2020,歳入,地方交付税,2172497
2020,歳入,交通安全対策特別交付金,10355
2020,歳入,分担金・負担金,108063
2020,歳入,使用料,333743
2020,歳入,手数料,200746
2020,歳入,国庫支出金,15560682
2020,歳入,国有提供交付金(特別区財調交付金),0
2020,歳入,都道府県支出金,2287026
2020,歳入,財産収入,126189
2020,歳入,寄附金,353083
2020,歳入,繰入金,27313
2020,歳入,繰越金,1777088
2020,歳入,諸収入,3326550
2020,歳入,地方債,3173200
2020,歳出,議会費,249148
2020,歳出,総務費,14775531
2020,歳出,民生費,11377364
2020,歳出,衛生費,2231212
2020,歳出,労働費,17339
2020,歳出,農林水産業費,548099
2020,歳出,商工費,3424005
2020,歳出,土木費,3346633
2020,歳出,消防費,1037105
2020,歳出,教育費,6028204
2020,歳出,災害復旧費,0
2020,歳出,公債費,2355701
2020,歳出,諸支出金,0
2020,歳出,前年度繰上充用金,0
2019,歳入,地方税,15283908
2019,歳入,地方譲与税,297769
2019,歳入,利子割交付金,16389
2019,歳入,配当割交付金,65336
2019,歳入,株式等譲渡所得割交付金,34856
2019,歳入,分離課税所得割交付金,0
2019,歳入,地方消費税交付金,1746778
2019,歳入,ゴルフ場利用税交付金,188498
2019,歳入,特別地方消費税交付金,0
2019,歳入,自動車取得税交付金,49327
2019,歳入,軽油引取税交付金,0
2019,歳入,自動車税環境性能割交付金,14681
2019,歳入,地方特例交付金等,228619
2019,歳入,地方交付税,2209160
2019,歳入,交通安全対策特別交付金,10406
2019,歳入,分担金・負担金,197666
2019,歳入,使用料,379028
2019,歳入,手数料,207554
2019,歳入,国庫支出金,4116362
2019,歳入,国有提供交付金(特別区財調交付金),0
2019,歳入,都道府県支出金,2061272
2019,歳入,財産収入,79939
2019,歳入,寄附金,413932
2019,歳入,繰入金,435370
2019,歳入,繰越金,3265960
2019,歳入,諸収入,1437966
2019,歳入,地方債,2579400
2019,歳出,議会費,255648
2019,歳出,総務費,6442293
2019,歳出,民生費,11051619
2019,歳出,衛生費,2277500
2019,歳出,労働費,17273
2019,歳出,農林水産業費,545272
2019,歳出,商工費,767714
2019,歳出,土木費,4477917
2019,歳出,消防費,1039161
2019,歳出,教育費,4313793
2019,歳出,災害復旧費,0
2019,歳出,公債費,2354898
2019,歳出,諸支出金,0
2019,歳出,前年度繰上充用金,0
2018,歳入,地方税,14740673
2018,歳入,地方譲与税,294319
2018,歳入,利子割交付金,36617
2018,歳入,配当割交付金,56506
2018,歳入,株式等譲渡所得割交付金,48052
2018,歳入,分離課税所得割交付金,0
2018,歳入,道府県民税所得割臨時交付金,0
2018,歳入,地方消費税交付金,1831198
2018,歳入,ゴルフ場利用税交付金,194090
2018,歳入,特別地方消費税交付金,0
2018,歳入,自動車取得税交付金,94953
2018,歳入,軽油引取税交付金,0
2018,歳入,地方特例交付金,89523
2018,歳入,地方交付税,2175951
2018,歳入,交通安全対策特別交付金,11049
2018,歳入,分担金・負担金,262863
2018,歳入,使用料,406314
2018,歳入,手数料,203667
2018,歳入,国庫支出金,3676024
2018,歳入,国有提供交付金(特別区財調交付金),0
2018,歳入,都道府県支出金,2032906
2018,歳入,財産収入,141461
2018,歳入,寄附金,434120
2018,歳入,繰入金,1309747
2018,歳入,繰越金,1250591
2018,歳入,諸収入,1108649
2018,歳入,地方債,2685300
2018,歳出,議会費,257266
2018,歳出,総務費,3963194
2018,歳出,民生費,10977377
2018,歳出,衛生費,2257450
2018,歳出,労働費,17293
2018,歳出,農林水産業費,573869
2018,歳出,商工費,594306
2018,歳出,土木費,4418444
2018,歳出,消防費,1107278
2018,歳出,教育費,3361255
2018,歳出,災害復旧費,0
2018,歳出,公債費,2290881
2018,歳出,諸支出金,0
2018,歳出,前年度繰上充用金,0
